ArraySize,InsertionSortTime,FusionSortTime,JavaSortTime
500,4,1,1
2500,11,1,1
4500,12,1,1
6500,43,2,1
8500,24,2,2
10500,32,3,1
12500,48,4,1
14500,42,3,2
16500,120,4,1
18500,63,4,2
20500,82,5,1
22500,113,6,1
24500,128,5,2
26500,132,7,2
28500,180,11,2
30500,190,7,3
32500,215,6,2
34500,231,6,2
36500,286,7,3
38500,311,9,3
40500,322,8,2
42500,352,9,3
44500,443,13,3
46500,443,10,4
48500,538,15,4
50500,552,12,3
52500,566,12,3
54500,615,16,5
56500,679,13,4
58500,721,17,4
60500,836,15,4
62500,855,14,5
64500,826,16,6
66500,921,15,4
68500,977,18,6
70500,1060,16,6
72500,1108,20,6
74500,1196,18,5
76500,1234,17,6
78500,1228,27,6
80500,1263,18,7
82500,1367,15,6
84500,1412,16,6
86500,1485,16,6
88500,1582,16,6
90500,1618,16,6
92500,1667,16,7
94500,1796,18,7
96500,1862,20,9
98500,1900,17,7
